Trial,Id,ElapsedTime
0,ITI,5122078.317024
0,Go,5122083.113024
0,Joystick,5122083.203008
0,Response,5122083.203008
0,Miss,5122085.213024
1,ITI,5122085.217024
1,Joystick,5122085.827008
1,Go,5122091.792032
1,Joystick,5122091.892032
1,Response,5122091.892032
1,Miss,5122093.901024
2,ITI,5122093.904032
2,Joystick,5122095.915008
2,Go,5122117.389024
2,Joystick,5122117.426016
2,Response,5122117.426016
2,Joystick,5122117.471008
2,Hit,5122117.471008
3,ITI,5122117.471008
3,NoGo,5122123.251008
3,Response,5122123.366016
3,Joystick,5122123.441024
3,CorrectRejection,5122125.367008
4,ITI,5122125.369024
4,NoGo,5122130.945024
4,Joystick,5122131.034016
5,ITI,5122137.046016
5,NoGo,5122145.106016
5,Joystick,5122145.182016
6,ITI,5122151.200032
6,Go,5122156.912032
6,Joystick,5122156.947008
6,Response,5122156.947008
6,Joystick,5122156.988032
6,Hit,5122156.988032
7,ITI,5122156.988032
7,Go,5122173.946016
7,Joystick,5122174.034016
7,Response,5122174.034016
7,Miss,5122176.040032
8,ITI,5122176.044032
8,Joystick,5122184.123008
8,Go,5122186.365024
8,Joystick,5122186.449024
8,Response,5122186.449024
8,Miss,5122188.461024
9,ITI,5122188.463008
9,NoGo,5122200.365024
9,Joystick,5122200.449024
10,ITI,5122206.458016
10,Go,5122211.084032
10,Joystick,5122211.179008
10,Response,5122211.179008
10,Miss,5122213.183008
11,ITI,5122213.186016
11,NoGo,5122227.226016
11,Response,5122227.345024
11,Joystick,5122227.364032
11,CorrectRejection,5122229.345024
12,ITI,5122229.348032
12,Go,5122233.845024
12,Joystick,5122233.927008
12,Response,5122233.927008
12,Miss,5122235.938016
13,ITI,5122235.941024
13,Go,5122246.767008
13,Joystick,5122246.840032
13,Response,5122246.840032
13,Miss,5122248.848032
14,ITI,5122248.851008
14,Go,5122254.048032
14,Joystick,5122254.124032
14,Response,5122254.124032
14,Miss,5122256.124032
15,ITI,5122256.128032
15,Joystick,5122279.740032
15,Joystick,5122279.974016
15,Joystick,5122280.623008
15,Joystick,5122281.897024
15,Joystick,5122283.793024
15,Joystick,5122284.381024
15,Joystick,5122284.913024
15,Joystick,5122285.187008
15,Joystick,5122285.315008
15,Go,5122287.500032
15,Response,5122287.608032
15,Miss,5122289.609024
16,ITI,5122289.612032
16,NoGo,5122295.202016
16,Response,5122295.326016
16,Timeout,5122295.360032
16,Joystick,5122295.370016
16,Joystick,5122298.045024
16,Joystick,5122298.646016
16,Joystick,5122299.007008
16,Joystick,5122300.473024
16,Joystick,5122300.863008
16,FalseAlarm,5122301.375008
17,ITI,5122301.378016
17,NoGo,5122307.241024
17,Response,5122307.357024
17,Joystick,5122307.378016
17,CorrectRejection,5122309.358016
18,ITI,5122309.361024
18,Go,5122314.578016
18,Joystick,5122314.659008
18,Response,5122314.659008
18,Miss,5122316.670016
19,ITI,5122316.672032
19,Joystick,5122339.751008
19,NoGo,5122351.890016
19,Joystick,5122351.981024
19,Joystick,5122352.996032
20,ITI,5122357.984032
20,NoGo,5122362.457024
20,Joystick,5122362.550016
21,ITI,5122368.559008
21,Go,5122373.540032
21,Joystick,5122373.624032
21,Response,5122373.624032
21,Miss,5122375.636032
22,ITI,5122375.638016
22,NoGo,5122386.760032
22,Response,5122386.883008
22,Joystick,5122386.910016
22,CorrectRejection,5122388.884032
23,ITI,5122388.886016
23,Go,5122396.774016
23,Joystick,5122396.861024
23,Response,5122396.861024
23,Miss,5122398.873024
24,ITI,5122398.876032
24,NoGo,5122414.338016
24,Response,5122414.460032
24,Joystick,5122414.494016
24,CorrectRejection,5122416.462016
25,ITI,5122416.464032
25,Go,5122428.508032
25,Joystick,5122428.536032
25,Response,5122428.536032
25,Joystick,5122428.595008
25,Hit,5122428.595008
26,ITI,5122428.595008
26,Joystick,5122433.669024
26,Joystick,5122433.983008
26,Joystick,5122434.381024
26,Joystick,5122434.494016
26,Joystick,5122436.364032
26,Joystick,5122436.483008
26,Joystick,5122436.586016
26,Joystick,5122436.869024
26,Joystick,5122437.111008
26,Joystick,5122438.179008
26,Joystick,5122442.050016
26,Joystick,5122442.185024
26,Joystick,5122442.295008
26,Joystick,5122442.430016
26,Joystick,5122443.034016
26,Joystick,5122447.911008
26,Joystick,5122449.951008
26,Joystick,5122450.226016
26,Joystick,5122450.358016
26,Joystick,5122451.428032
26,Joystick,5122451.557024
26,Joystick,5122451.885024
26,Joystick,5122452.042016
26,Joystick,5122452.176032
26,Joystick,5122452.331008
26,Joystick,5122452.440032
26,Joystick,5122452.589024
26,Joystick,5122452.760032
26,Joystick,5122453.238016
26,Joystick,5122453.829024
26,Joystick,5122453.878016
26,Joystick,5122453.920032
26,Joystick,5122454.140032
26,Joystick,5122454.211008
26,Joystick,5122454.466016
26,Joystick,5122455.804032
26,Joystick,5122461.061024
26,Joystick,5122466.389024
26,Joystick,5122468.483008
26,Joystick,5122469.849024
26,Joystick,5122478.309024
26,Joystick,5122478.987008
26,Joystick,5122479.331008
26,Joystick,5122480.143008
26,Joystick,5122487.301024
26,Joystick,5122491.573024
26,Go,5122493.924032
26,Joystick,5122493.953024
26,Response,5122493.953024
26,Joystick,5122494.013024
26,Hit,5122494.013024
27,ITI,5122494.013024
27,Joystick,5122501.176032
27,Joystick,5122501.302016
27,Joystick,5122501.660032
27,Joystick,5122501.926016
27,Joystick,5122502.091008
27,Joystick,5122502.990016
27,Joystick,5122505.866016
27,Joystick,5122506.161024
27,Joystick,5122506.260032
27,Joystick,5122507.156032
27,Joystick,5122511.053024
27,Joystick,5122511.491008
27,Joystick,5122511.773024
27,Joystick,5122511.872032
27,Joystick,5122514.745024
27,Joystick,5122515.357024
27,Joystick,5122515.516032
27,Joystick,5122515.729024
27,Joystick,5122516.614016
27,Go,5122519.472032
27,Joystick,5122519.550016
27,Response,5122519.550016
27,Joystick,5122520.448032
27,Hit,5122520.448032
28,ITI,5122520.448032
28,Joystick,5122525.322016
28,Joystick,5122526.021024
28,Joystick,5122526.369024
28,Joystick,5122527.346016
28,Joystick,5122527.368032
28,Joystick,5122527.488032
28,Go,5122534.141024
28,Joystick,5122534.223008
28,Response,5122534.223008
28,Miss,5122536.228032
29,ITI,5122536.231008
29,Joystick,5122552.663008
29,Joystick,5122553.400032
29,Go,5122556.534016
29,Joystick,5122556.614016
29,Response,5122556.614016
29,Miss,5122558.624032
30,ITI,5122558.627008
30,Joystick,5122560.108032
30,Joystick,5122566.829024
30,Go,5122602.583008
30,Joystick,5122602.693024
30,Response,5122602.693024
30,Miss,5122604.700032
31,ITI,5122604.702016
31,NoGo,5122609.824032
31,Response,5122609.949024
31,Timeout,5122609.953024
31,Joystick,5122609.956032
31,FalseAlarm,5122615.969024
32,ITI,5122615.973024
32,Go,5122620.803008
32,Response,5122620.916032
32,Joystick,5122620.927008
32,Hit,5122620.927008
33,ITI,5122620.927008
33,Joystick,5122621.474016
33,Joystick,5122621.564032
33,Joystick,5122622.790016
33,Joystick,5122623.477024
33,Joystick,5122624.305024
33,Go,5122626.482016
33,Response,5122626.589024
33,Joystick,5122626.592032
33,Hit,5122626.592032
34,ITI,5122626.592032
34,Joystick,5122643.378016
34,Go,5122674.602016
34,Joystick,5122674.713024
34,Response,5122674.713024
34,Joystick,5122675.112032
34,Hit,5122675.112032
35,ITI,5122675.112032
35,Joystick,5122675.220032
35,Go,5122680.507008
35,Response,5122680.634016
35,Joystick,5122680.640032
35,Hit,5122680.640032
36,ITI,5122680.640032
36,Joystick,5122683.732032
36,Joystick,5122684.056032
36,Joystick,5122684.161024
36,Joystick,5122684.289024
36,Joystick,5122684.465024
36,Joystick,5122684.547008
36,Joystick,5122692.781024
36,Joystick,5122692.895008
36,Joystick,5122695.964032
36,Joystick,5122696.064032
36,Joystick,5122699.324032
36,Joystick,5122703.579008
36,Joystick,5122703.701024
36,Joystick,5122710.406016
36,Joystick,5122711.241024
36,Joystick,5122711.644032
36,Go,5122715.573024
36,Joystick,5122715.684032
36,Response,5122715.684032
36,Joystick,5122716.133024
36,Hit,5122716.133024
37,ITI,5122716.133024
37,Joystick,5122722.912032
